LeadId,CompanyName,Industry,Website,Location,Address,DecisionMakerName,Designation,Email,EmailType,Phone,LinkedIn,Facebook,Instagram,Twitter,YouTube,ContactPage,SourceKeyword,HasTestimonials,HasVideoTestimonials,HasCaseStudies,HasGoogleReviews,LeadScore,Priority,CreatedDate
1,SEO Company in Delhi | SEO Agency in Delhi - WebzPapa,SEO Agency,https://webzpapa.com/seo-company-delhi.html,"if(is_iframe){iframe_count+=1}}});if(image_count>0||iframe_count>0||rocketlazy_count>0){lazyLoadInstance.update()}});var b=document.getElementsByTagName(""body"")[0];var config={childList:!0,subtree:!0}","if(is_iframe){iframe_count+=1}}});if(image_count>0||iframe_count>0||rocketlazy_count>0){lazyLoadInstance.update()}});var b=document.getElementsByTagName(""body"")[0];var config={childList:!0,subtree:!0}",More Results,Owner,info@webzpapa.com,Generic,+01333444555,,https://www.facebook.com/webzpapa/,https://www.instagram.com/webzpapa/,,,https://webzpapa.com/contact/,SEO Agency,True,True,True,False,100,Hot Lead,2026-06-23T06:58:28.380002
2,SEO Shades – Delhi’s SEO Expert for Growth,SEO Agency,https://seoshades.co.in/,"Dubai, UAE.</p><div class=""target-box"">","Dubai, UAE.</p><div class=""target-box"">",About Me,Founder,info.seoshades@gmail.com,Generic,+919540376544,,https://www.facebook.com/seoshades10/,,,https://www.youtube.com/@seoshades,https://seoshades.co.in/contact-us/,SEO Agency,False,True,True,False,85,Hot Lead,2026-06-23T06:58:29.932032
3,SEO India Higherup,SEO Agency,http://www.seoindiahigherup.com/,"}, false);</script><script data-no-minify=""1"" async src=""https://www.seoindiahigherup.com/wp-content/plugins/rocket-lazy-load/assets/js/16.1/lazyload.min.js""></script><script>function lazyLoadThumb(e,","}, false);</script><script data-no-minify=""1"" async src=""https://www.seoindiahigherup.com/wp-content/plugins/rocket-lazy-load/assets/js/16.1/lazyload.min.js""></script><script>function lazyLoadThumb(e,",,,business@seoindiahigherup.com,Generic,+917827831322,https://www.linkedin.com/company/seoindiahigherup/,https://www.facebook.com/seoindiahigherupcompany/,,https://twitter.com/seoindiahigherp,,https://www.seoindiahigherup.com/contact-us.php,SEO Agency,True,True,True,False,100,Hot Lead,2026-06-23T06:58:39.631094
4,Home Lawyer - My Blog,SEO Agency,https://www.gmbitsolution.com/,"<script nonce=""B6szQNr3"">requireLazy([""HasteSupportData""],function(m){m.handle({""clpData"":{""1838142"":{""r"":1,""s"":1},""1958484"":{""r"":1,""s"":1},""1963303"":{""r"":1,""s"":1},""2120"":{""r"":1,""s"":1},""2807"":{""r"":1,""s","<script nonce=""B6szQNr3"">requireLazy([""HasteSupportData""],function(m){m.handle({""clpData"":{""1838142"":{""r"":1,""s"":1},""1958484"":{""r"":1,""s"":1},""1963303"":{""r"":1,""s"":1},""2120"":{""r"":1,""s"":1},""2807"":{""r"":1,""s",Aman Sharma,Founder,info@gmbitsolution.com,Generic,+918130488518,,,,,,https://www.gmbitsolution.com/#Contacts,SEO Agency,True,True,True,False,100,Hot Lead,2026-06-23T06:58:52.470931
5,"Best Digital Marketing Company in Delhi NCR - SEO, SMO, PPC, SEM",SEO Agency,http://www.digitalmarketingplayers.com/,Delhi but we believe in virtual connect.</p>,Delhi but we believe in virtual connect.</p>,,,hello@dmplayers.com,Generic,+919899442032,https://www.linkedin.com/company/digital-marketing-players/,https://www.facebook.com/digitalmarketingplayers,https://www.instagram.com/wedigitalmarketingplayers/,,https://www.youtube.com/@digitalmarketingplayers,https://digitalmarketingplayers.com/contact-us/,SEO Agency,True,True,True,True,100,Hot Lead,2026-06-23T06:59:06.224848
6,SEO Services In Delhi | Best SEO Agency In Delhi | Best SEO Company In Delhi,SEO Agency,https://digitalshukla.com/,"C C Colony,Delhi. It stands located at Ground Floor, Nanak Pio Gurdawra, C-37 Dtc Colony Near Rana Paratab Bagh, C C Colony-110007.Nanak Pio Gurdawara is a prominent landmark in the area,and it is in","C C Colony,Delhi. It stands located at Ground Floor, Nanak Pio Gurdawra, C-37 Dtc Colony Near Rana Paratab Bagh, C C Colony-110007.Nanak Pio Gurdawara is a prominent landmark in the area,and it is in",,,digitalshuklaseo@gmail.com,Personal Business,3240881022,,https://www.facebook.com/share/18agc1NT5U/,https://www.instagram.com/digitalshukla?igsh=dWRkM3p3N2RtNGdj,https://x.com/Digitalshukla95?t=Q76B-gN09nCHe6olpI1bFA&s=09,,https://digitalshukla.com/contact/,SEO Agency,True,True,True,False,100,Hot Lead,2026-06-23T06:59:17.308604
7,Title,SEO Agency,https://aniketgupta.in/,"<meta name=""viewport"" content=""width=device-width, initial-scale=1"">","<meta name=""viewport"" content=""width=device-width, initial-scale=1"">",,,,,39296782568,,,,,https://www.youtube.com/embed/VhBl3dHT5SY?feature=oembed?playlist=VhBl3dHT5SY&mute=0&autoplay=0&loop=no&controls=0&start=0&end=,https://aniketgupta.in/,SEO Agency,True,True,True,False,100,Hot Lead,2026-06-23T06:59:24.760511
8,Digital Marketing Company in Delhi | Digital Marketing Agency,SEO Agency,https://www.onerank.in/contact-us/,"<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">","<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">",Windows Phone,CEO,enquiryonerank@gmail.com,Generic,+919289848522,,https://www.facebook.com/one1rank,https://www.instagram.com/onerank.in,https://twitter.com/one1ranks,,https://www.onerank.in/contact-us/,SEO Agency,False,True,True,False,85,Hot Lead,2026-06-23T06:59:33.150093
9,Digital Soull,SEO Agency,http://digitalsoull.in/,"<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">","<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1"">",,,info@digitalsoull.in,Generic,+917982320482,https://www.linkedin.com/company/digital-soull/,https://www.facebook.com/digitalsoull,https://www.instagram.com/thedigitalsoull/,,,https://digitalsoull.in/contact-us/,SEO Agency,True,True,True,False,100,Hot Lead,2026-06-23T06:59:40.046485
10,Vivacious Management Services Pvt Ltd,SEO Agency,https://vmsit.net/,"<!DOCTYPE html><html class=""_9dls _ar44"" lang=""en"" dir=""ltr""><head><link data-default-icon=""https://static.cdninstagram.com/rsrc.php/yr/r/rzWiSjZRxk5.webp"" rel=""icon"" sizes=""192x192"" href=""https://sta","<!DOCTYPE html><html class=""_9dls _ar44"" lang=""en"" dir=""ltr""><head><link data-default-icon=""https://static.cdninstagram.com/rsrc.php/yr/r/rzWiSjZRxk5.webp"" rel=""icon"" sizes=""192x192"" href=""https://sta",,,web@vms.ind.in,Personal Business,+919211721500,,https://www.facebook.com/VMS.Pvt.Ltd/,https://www.instagram.com/vivaciousmanagementpvtltd/,,https://www.youtube.com/channel/UCx1k7N8g6mmMZZg1_eLOBwA,https://vmsit.net/support-and-maintenance-in-delhi.php,SEO Agency,True,True,True,False,100,Hot Lead,2026-06-23T06:59:48.616547
